"Longitude","Latitude","Date","State","Temp","CO","NO2","SO2","AtmPres"
-119.7462,36.17,"2014-01-01","California",10.62,0.88,20.07,1.05,979.19
-119.7462,36.17,"2014-01-02","California",11.86,0.82,22.17,1.03,977.99
-119.7462,36.17,"2014-01-03","California",11.24,0.87,24.42,0.99,974.69
-119.7462,36.17,"2014-01-04","California",10.94,0.78,19.95,0.78,974.42
-119.7462,36.17,"2014-01-05","California",11.23,0.69,16.33,0.66,979.46
-119.7462,36.17,"2014-01-06","California",10.96,0.77,20.87,0.9,981.24
-119.7462,36.17,"2014-01-07","California",10.43,0.85,23.84,0.92,978.36
-119.7462,36.17,"2014-01-08","California",9.88,0.64,18.97,0.69,977.82
-119.7462,36.17,"2014-01-09","California",10.05,0.54,16.66,0.59,977.77
-119.7462,36.17,"2014-01-10","California",11.51,0.7,20.5,0.76,979.12
-119.7462,36.17,"2014-01-11","California",11.72,0.65,17.71,0.61,978.87
-119.7462,36.17,"2014-01-12","California",11.04,0.54,13.09,0.59,980.66
-119.7462,36.17,"2014-01-13","California",12.13,0.62,16.61,0.61,986.07
-119.7462,36.17,"2014-01-14","California",13.75,0.69,18.69,0.94,986.38
-119.7462,36.17,"2014-01-15","California",14.74,0.73,20.21,0.94,983.41
-119.7462,36.17,"2014-01-16","California",14.72,0.78,21.8,0.89,980.46
-119.7462,36.17,"2014-01-17","California",14.26,0.79,22.9,0.9,979.22
-119.7462,36.17,"2014-01-18","California",12.98,0.79,21.27,0.88,978.15
-119.7462,36.17,"2014-01-19","California",12.27,0.76,19.81,0.79,978.09
-119.7462,36.17,"2014-01-20","California",11.89,0.82,22.78,0.86,980.18
-119.7462,36.17,"2014-01-21","California",12.4,0.84,24.73,0.83,980.84
-119.7462,36.17,"2014-01-22","California",12.94,0.76,22.65,0.94,975.41
-119.7462,36.17,"2014-01-23","California",11.94,0.66,19.96,0.7,973.64
-119.7462,36.17,"2014-01-24","California",14.03,0.65,20.95,0.68,979.14
-119.7462,36.17,"2014-01-25","California",14.36,0.6,17.7,0.67,979.25
-119.7462,36.17,"2014-01-26","California",12.26,0.58,15.95,0.74,975.81
-119.7462,36.17,"2014-01-27","California",12.39,0.55,17,0.54,975.77
-119.7462,36.17,"2014-01-28","California",13.39,0.59,18.23,0.59,977.58
-119.7462,36.17,"2014-01-29","California",14.64,0.56,17.13,0.52,975.62
-119.7462,36.17,"2014-01-30","California",12.32,0.41,10.61,0.42,970.58
-119.7462,36.17,"2014-01-31","California",10.02,0.34,8.97,0.34,972.63
-119.7462,36.17,"2014-02-01","California",7.99,0.4,10.54,0.35,976.19
-119.7462,36.17,"2014-02-02","California",7.13,0.41,8.67,0.35,974.14
-119.7462,36.17,"2014-02-03","California",7.79,0.4,11.25,0.36,973.01
-119.7462,36.17,"2014-02-04","California",7.73,0.43,13.06,0.45,976.2
-119.7462,36.17,"2014-02-05","California",8.49,0.43,12.92,0.42,977.3
-119.7462,36.17,"2014-02-06","California",8.98,0.41,11.86,0.32,974.25
-119.7462,36.17,"2014-02-07","California",10.38,0.37,9.3,0.33,976.44
-119.7462,36.17,"2014-02-08","California",12.31,0.36,7.32,0.24,979.28
-119.7462,36.17,"2014-02-09","California",13.59,0.35,6.78,0.24,978.3
-119.7462,36.17,"2014-02-10","California",14.23,0.4,10.44,0.31,977.85
-119.7462,36.17,"2014-02-13","California",15.64,0.59,18.5,0.59,976.97
-119.7462,36.17,"2014-02-14","California",15.9,0.57,18.21,0.55,975.88
-119.7462,36.17,"2014-02-15","California",15.33,0.56,15.79,0.62,973.78
-119.7462,36.17,"2014-02-16","California",15.16,0.46,11.18,0.43,975.68
-119.7462,36.17,"2014-02-17","California",13.13,0.46,11.24,0.46,975.92
-119.7462,36.17,"2014-02-18","California",12.78,0.43,12.64,0.47,975.96
-119.7462,36.17,"2014-02-19","California",13.43,0.39,12.05,0.54,975.28
-119.7462,36.17,"2014-02-20","California",13.87,0.48,14.86,0.53,976.79
-119.7462,36.17,"2014-02-21","California",14.11,0.57,16.92,0.67,974.16
-119.7462,36.17,"2014-02-22","California",13.54,0.55,15.41,0.68,971.8
-119.7462,36.17,"2014-02-23","California",13.62,0.51,12,0.65,972.66
-119.7462,36.17,"2014-02-24","California",13.92,0.52,15,0.65,972.92
-119.7462,36.17,"2014-02-25","California",14.06,0.44,11.12,0.6,971.88
-119.7462,36.17,"2014-02-26","California",13.4,0.35,7.78,0.44,971.85
-119.7462,36.17,"2014-02-27","California",14.17,0.33,7.06,0.44,969.21
-119.7462,36.17,"2014-02-28","California",12.54,0.32,5.46,0.41,960.64
-119.7462,36.17,"2014-03-01","California",11.84,0.33,5.32,0.36,965.62
-119.7462,36.17,"2014-03-02","California",11.64,0.35,6.25,0.4,974.85
